matrix_index,drug_name,candidate_count,identity_class,candidate_ids,candidate_names,inchikey_values,smiles_count,notes
83,bleomycin,2,mixed_identity,"[""CHEMBL403664"",""DRUGBANK:DB00290""]","[""BLEOMYCIN"",""Bleomycin""]","[""OYVAGSVQBOHSSS-UAPAGMARSA-O"",""OYVAGSVQBOHSSS-WXFSZRTFSA-O""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=1. No namespace was preferred.
89,bupivacaine,2,insufficient_structure,"[""CHEMBL1098"",""RXNORM:1815""]","[""BUPIVACAINE"",""bupivacaine""]","[""LEBVLXFERQHONN-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
91,tenofovir.disoproxil,2,insufficient_structure,"[""CHEMBL1538"",""RXNORM:300195""]","[""TENOFOVIR DISOPROXIL"",""tenofovir disoproxil""]","[""JFVZFKDSXNQEJW-CQSZACIVSA-N""]",1,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
107,metformin,2,insufficient_structure,"[""CHEMBL1431"",""RXNORM:6809""]","[""METFORMIN"",""metformin""]","[""XZWYZXLIPXDOLR-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
116,nitisinone,2,insufficient_structure,"[""CHEMBL1337"",""RXNORM:61805""]","[""NITISINONE"",""nitisinone""]","[""OUBCNLGXQFSTLU-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
128,treprostinil,2,insufficient_structure,"[""CHEMBL1237119"",""RXNORM:343048""]","[""TREPROSTINIL"",""treprostinil""]","[""PAJMKGZZBBTTOY-ZFORQUDYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
132,amlodipine,2,insufficient_structure,"[""CHEMBL1491"",""RXNORM:17767""]","[""AMLODIPINE"",""amlodipine""]","[""HTIQEAQVCYTUBX-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
152,allopurinol,2,insufficient_structure,"[""CHEMBL1467"",""RXNORM:519""]","[""ALLOPURINOL"",""allopurinol""]","[""OFCNXPDARWKPPY-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
172,lenalidomide,2,insufficient_structure,"[""CHEMBL848"",""RXNORM:342369""]","[""LENALIDOMIDE"",""lenalidomide""]","[""GOTYRUGSSMKFNF-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
181,entacapone,2,insufficient_structure,"[""CHEMBL953"",""RXNORM:60307""]","[""ENTACAPONE"",""entacapone""]","[""JRURYQJSLYLRLN-BJMVGYQFSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
188,ritonavir,2,insufficient_structure,"[""CHEMBL163"",""RXNORM:85762""]","[""RITONAVIR"",""ritonavir""]","[""NCDNCNXCDXHOMX-XGKFQTDJSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
194,caspofungin,2,equivalent_by_inchikey,"[""CHEMBL1630575"",""DRUGBANK:DB00520""]","[""CASPOFUNGIN"",""Caspofungin""]","[""JYIKNQVWKBUSNH-WVDDFWQHSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['JYIKNQVWKBUSNH-WVDDFWQHSA-N']. No namespace was preferred.
197,oxaliplatin,2,insufficient_structure,"[""CHEMBL414804"",""DRUGBANK:DB00526""]","[""OXALIPLATIN"",""Oxaliplatin""]","[""ZROHGHOFXNOHSO-BNTLRKBRSA-L""]",0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
200,erlotinib,2,insufficient_structure,"[""CHEMBL553"",""RXNORM:337525""]","[""ERLOTINIB"",""erlotinib""]","[""AAKJLRGGTJKAMG-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
216,bosentan,2,insufficient_structure,"[""CHEMBL957"",""RXNORM:75207""]","[""BOSENTAN"",""bosentan""]","[""GJPICJJJRGTNOD-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
218,methotrexate,2,insufficient_structure,"[""CHEMBL34259"",""RXNORM:6851""]","[""METHOTREXATE"",""methotrexate""]","[""FBOZXECLQNJBKD-ZDUSSCGKSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
222,propranolol,2,insufficient_structure,"[""CHEMBL27"",""RXNORM:8787""]","[""PROPRANOLOL"",""propranolol""]","[""AQHHHDLHHXJYJD-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
233,gadoteridol,2,insufficient_structure,"[""CHEMBL1200593"",""DRUGBANK:DB00597""]","[""GADOTERIDOL"",""Gadoteridol""]","[""DPNNNPAKRZOSMO-UHFFFAOYSA-K""]",0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
236,ivermectin,2,equivalent_by_inchikey,"[""CHEMBL1200633"",""DRUGBANK:DB00602""]","[""IVERMECTIN"",""Ivermectin""]","[""SPBDXSGPUHCETR-JFUDTMANSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['SPBDXSGPUHCETR-JFUDTMANSA-N']. No namespace was preferred.
238,butorphanol,2,equivalent_by_inchikey,"[""CHEMBL33986"",""DRUGBANK:DB00611""]","[""BUTORPHANOL"",""Butorphanol""]","[""IFKLAQQSCNILHL-QHAWAJNXSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['IFKLAQQSCNILHL-QHAWAJNXSA-N']. No namespace was preferred.
243,testosterone,2,insufficient_structure,"[""CHEMBL386630"",""RXNORM:10379""]","[""TESTOSTERONE"",""testosterone""]","[""MUMGGOZAMZWBJJ-DYKIIFRCSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
257,sevelamer,2,insufficient_structure,"[""CHEMBL5314349"",""DRUGBANK:DB00658""]","[""SEVELAMER"",""Sevelamer""]","[""ZNSIZMQNQCNRBW-UHFFFAOYSA-N""]",0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
261,nafarelin,2,mixed_identity,"[""CHEMBL1201309"",""DRUGBANK:DB00666""]","[""NAFARELIN"",""Nafarelin""]","[""PPXLVGBVOZLEIW-ITQXDASVSA-N"",""RWHUEXWOYVBUCI-ITQXDASVSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
284,porfimer.sodium,2,insufficient_structure,"[""CHEMBL1201481"",""DRUGBANK:DB00707""]","[""PORFIMER SODIUM"",""Porfimer sodium""]",[],0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
286,lamivudine,2,insufficient_structure,"[""CHEMBL141"",""RXNORM:68244""]","[""LAMIVUDINE"",""lamivudine""]","[""JTEGQNOMFQHVDC-NKWVEPMBSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
295,risperidone,2,insufficient_structure,"[""CHEMBL85"",""RXNORM:35636""]","[""RISPERIDONE"",""risperidone""]","[""RAPZEAPATHNIPO-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
296,naftifine,2,equivalent_by_inchikey,"[""CHEMBL626"",""DRUGBANK:DB00735""]","[""NAFTIFINE"",""Naftifine""]","[""OZGNYLLQHRPOBR-DHZHZOJOSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['OZGNYLLQHRPOBR-DHZHZOJOSA-N']. No namespace was preferred.
299,riluzole,2,insufficient_structure,"[""CHEMBL744"",""RXNORM:35623""]","[""RILUZOLE"",""riluzole""]","[""FTALBRSUTCGOEG-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
315,estradiol,2,insufficient_structure,"[""CHEMBL135"",""RXNORM:4083""]","[""ESTRADIOL"",""estradiol""]","[""VOXZDWNPVJITMN-ZBRFXRBCSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
326,fentanyl,2,insufficient_structure,"[""CHEMBL596"",""RXNORM:4337""]","[""FENTANYL"",""fentanyl""]","[""PJMPHNIQZUBGLI-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
341,vardenafil,2,insufficient_structure,"[""CHEMBL1520"",""RXNORM:306674""]","[""VARDENAFIL"",""vardenafil""]","[""SECKRCOLJRRGGV-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
347,emtricitabine,2,insufficient_structure,"[""CHEMBL885"",""RXNORM:276237""]","[""EMTRICITABINE"",""emtricitabine""]","[""XQSPYNMVSIKCOC-NTSWFWBYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
361,zonisamide,2,insufficient_structure,"[""CHEMBL750"",""RXNORM:39998""]","[""ZONISAMIDE"",""zonisamide""]","[""UBQNRHZMVUUOMG-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
368,buprenorphine,2,mixed_identity,"[""CHEMBL511142"",""CHEMBL560511""]","[""BUPRENORPHINE"",""Buprenorphine""]","[""RMRJXGBAOAMLHD-CTAPUXPBSA-N"",""RMRJXGBAOAMLHD-IHFGGWKQSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
372,azacitidine,2,insufficient_structure,"[""CHEMBL1489"",""RXNORM:1251""]","[""AZACITIDINE"",""azacitidine""]","[""NMUSYJAQQFHJEW-KVTDHHQDSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
384,carboplatin,2,insufficient_structure,"[""CHEMBL1351"",""DRUGBANK:DB00958""]","[""CARBOPLATIN"",""Carboplatin""]","[""OLESAACUTLOWQZ-UHFFFAOYSA-L""]",0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
388,telmisartan,2,insufficient_structure,"[""CHEMBL1017"",""RXNORM:73494""]","[""TELMISARTAN"",""telmisartan""]","[""RMMXLENWKUUMAY-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
389,desloratadine,2,insufficient_structure,"[""CHEMBL1172"",""RXNORM:275635""]","[""DESLORATADINE"",""desloratadine""]","[""JAUOIFJMECXRGI-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
398,formoterol,2,insufficient_structure,"[""CHEMBL1256786"",""RXNORM:25255""]","[""FORMOTEROL"",""formoterol""]","[""BPZSYCZIITTYBL-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
405,auranofin,2,insufficient_structure,"[""CHEMBL1366"",""DRUGBANK:DB00995""]","[""AURANOFIN"",""Auranofin""]","[""AUJRCFUBUPVWSZ-XTZHGVARSA-M""]",0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
409,hydrochlorothiazide,2,insufficient_structure,"[""CHEMBL435"",""RXNORM:5487""]","[""HYDROCHLOROTHIAZIDE"",""hydrochlorothiazide""]","[""JZUFKLXOESDKRF-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
418,cinacalcet,2,insufficient_structure,"[""CHEMBL1201284"",""RXNORM:407990""]","[""CINACALCET"",""cinacalcet""]","[""VDHAWDNDOKGFTD-MRXNPFEDSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
433,memantine,2,insufficient_structure,"[""CHEMBL807"",""RXNORM:6719""]","[""MEMANTINE"",""memantine""]","[""BUGYDGFZZOZRHP-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
437,abacavir,2,insufficient_structure,"[""CHEMBL1380"",""RXNORM:190521""]","[""ABACAVIR"",""abacavir""]","[""MCGSCOLBFJQGHM-SCZZXKLOSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
448,vigabatrin,2,insufficient_structure,"[""CHEMBL89598"",""RXNORM:14851""]","[""VIGABATRIN"",""vigabatrin""]","[""PJDFLNIOAUIZSL-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
459,heparin,2,insufficient_structure,"[""CHEMBL4650299"",""DRUGBANK:DB01109""]","[""HEPARIN"",""Heparin""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
467,pioglitazone,2,insufficient_structure,"[""CHEMBL595"",""RXNORM:33738""]","[""PIOGLITAZONE"",""pioglitazone""]","[""HYAFETHFCAUJAY-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
480,itraconazole,2,mixed_identity,"[""CHEMBL64391"",""DRUGBANK:DB01167""]","[""ITRACONAZOLE"",""Itraconazole""]","[""VHVPQPYKVGDNFY-UHFFFAOYSA-N"",""VHVPQPYKVGDNFY-ZPGVKDDISA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
481,arsenic.trioxide,2,mixed_identity,"[""CHEMBL5483015"",""DRUGBANK:DB01169""]","[""ARSENIC TRIOXIDE"",""Arsenic trioxide""]","[""IKWTVSLWAPBBKU-UHFFFAOYSA-N"",""MOQADKPFYVWPSE-UHFFFAOYSA-N""]",2,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
497,levetiracetam,2,insufficient_structure,"[""CHEMBL1286"",""RXNORM:114477""]","[""LEVETIRACETAM"",""levetiracetam""]","[""HPHUVLMMVZITSG-LURJTMIESA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
498,nadolol,2,mixed_identity,"[""CHEMBL521606"",""CHEMBL649""]","[""NADOLOL"",""NADOLOL""]","[""VWPOSFSPZNDTMJ-UCWKZMIHSA-N"",""VWPOSFSPZNDTMJ-UHFFFAOYSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
509,budesonide,2,insufficient_structure,"[""CHEMBL1370"",""RXNORM:19831""]","[""BUDESONIDE"",""budesonide""]","[""VOVIALXJUBGFJZ-KWVAZRHASA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
512,paclitaxel,2,insufficient_structure,"[""CHEMBL428647"",""RXNORM:56946""]","[""PACLITAXEL"",""paclitaxel""]","[""RCINICONZNJXQF-MZXODVADSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
515,levodopa,2,insufficient_structure,"[""CHEMBL1009"",""RXNORM:6375""]","[""LEVODOPA"",""levodopa""]","[""WTDRDQBEARUVNC-LURJTMIESA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
516,aripiprazole,2,insufficient_structure,"[""CHEMBL1112"",""RXNORM:89013""]","[""ARIPIPRAZOLE"",""aripiprazole""]","[""CEUORZQYGODEFX-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
530,posaconazole,2,insufficient_structure,"[""CHEMBL1397"",""RXNORM:282446""]","[""POSACONAZOLE"",""posaconazole""]","[""RAGOYPUPXAKGKH-XAKZXMRKSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
535,varenicline,2,mixed_identity,"[""CHEMBL1076903"",""DRUGBANK:DB01273""]","[""VARENICLINE"",""Varenicline""]","[""JQSHBVHOMNKWFT-DTORHVGOSA-N"",""JQSHBVHOMNKWFT-UHFFFAOYSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
537,exenatide,2,equivalent_by_inchikey,"[""CHEMBL414357"",""DRUGBANK:DB01276""]","[""EXENATIDE"",""Exenatide""]","[""HTQBXNHDCUEHJF-XWLPCZSASA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['HTQBXNHDCUEHJF-XWLPCZSASA-N']. No namespace was preferred.
539,corticotropin,2,insufficient_structure,"[""CHEMBL1201610"",""DRUGBANK:DB01285""]","[""CORTICOTROPIN"",""Corticotropin""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
541,insulin.aspart,2,insufficient_structure,"[""CHEMBL1201496"",""DRUGBANK:DB01306""]","[""INSULIN ASPART"",""Insulin aspart""]",[],0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
542,insulin.detemir,2,insufficient_structure,"[""CHEMBL2104391"",""DRUGBANK:DB01307""]","[""INSULIN DETEMIR"",""Insulin detemir""]","[""UGOZVNFCFYTPAZ-IOXYNQHNSA-N""]",1,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
548,rasagiline,2,insufficient_structure,"[""CHEMBL887"",""RXNORM:134748""]","[""RASAGILINE"",""rasagiline""]","[""RUOKEQAAGRXIBM-GFCCVEGCSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
556,colestyramine,2,insufficient_structure,"[""CHEMBL1201625"",""DRUGBANK:DB01432""]","[""CHOLESTYRAMINE"",""Cholestyramine""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
562,everolimus,2,insufficient_structure,"[""CHEMBL1908360"",""RXNORM:141704""]","[""EVEROLIMUS"",""everolimus""]","[""HKVAMNSJSFKALM-GKUWKFKPSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
